Date,Open,High,Low,Close,Adj Close,Volume
2003-12-18,10.155064,10.155064,9.953307,10.155064,3.701138,20464585
2003-12-19,10.164671,10.260745,10.087812,10.164671,3.704638,93579367
2003-12-22,10.231923,10.299175,10.097419,10.231923,3.729149,29885709
2003-12-23,10.337605,10.337605,10.212708,10.337605,3.767667,53888228
2003-12-24,10.337605,10.337605,10.337605,10.337605,3.767667,0
2003-12-25,10.337605,10.337605,10.337605,10.337605,3.767667,0
2003-12-26,10.337605,10.337605,10.337605,10.337605,3.767667,0
2003-12-29,10.481717,10.481717,10.318390,10.481717,3.820191,51296753
2003-12-30,10.520146,10.558576,10.443287,10.520146,3.834197,34100309
2003-12-31,10.520146,10.520146,10.520146,10.520146,3.834197,0
2004-01-01,10.520146,10.520146,10.520146,10.520146,3.834197,0
2004-01-02,10.731510,10.741117,10.520146,10.731510,3.911231,60136835
2004-01-05,10.827584,10.856407,10.673865,10.827584,3.946246,93975835
2004-01-06,10.827584,10.827584,10.827584,10.827584,3.946246,0
2004-01-07,10.827584,11.019733,10.817977,10.827584,3.946246,181955417
2004-01-08,10.789155,10.923659,10.741117,10.789155,3.932238,37673831
2004-01-09,10.779547,10.894836,10.645043,10.779547,3.928739,41943206
2004-01-12,10.597006,10.625828,10.520146,10.597006,3.893438,75457778
2004-01-13,10.577791,10.693080,10.558576,10.577791,3.886379,70384360
2004-01-14,10.539361,10.597006,10.481717,10.539361,3.872260,32808677
2004-01-15,10.587398,10.587398,10.443287,10.587398,3.889908,18959839
2004-01-16,10.693080,10.702688,10.597006,10.693080,3.928737,18741469
2004-01-19,10.645043,10.779547,10.616221,10.645043,3.911088,15177350
2004-01-20,10.510539,10.673865,10.510539,10.510539,3.861670,50409932
2004-01-21,10.606613,10.606613,10.443287,10.606613,3.896968,20184190
2004-01-22,10.702688,10.760332,10.664258,10.702688,3.932268,33749506
2004-01-23,10.702688,10.789155,10.683473,10.702688,3.932268,30228639
2004-01-26,10.548969,10.712295,10.500931,10.548969,3.875790,22027736
2004-01-27,10.520146,10.721903,10.520146,10.520146,3.865200,18007335
2004-01-28,10.606613,10.645043,10.472109,10.606613,3.896968,20166350
2004-01-29,10.424072,10.558576,10.376035,10.424072,3.829901,21524526
2004-01-30,10.289568,10.500931,10.222316,10.289568,3.780484,32843771
2004-02-02,10.260745,10.385642,10.107026,10.174278,3.738125,37601234
2004-02-03,10.183886,10.222316,9.991737,10.068597,3.699298,32523273
2004-02-04,9.905270,9.943700,9.818803,9.857233,3.621640,126711069
2004-02-05,9.857233,10.049382,9.809196,9.818803,3.607519,55500705
2004-02-06,9.857233,10.030167,9.828411,10.030167,3.685178,257334419
2004-02-09,10.087812,10.414464,10.049382,10.414464,3.826370,65983342
2004-02-10,10.404857,10.587398,10.337605,10.568184,3.882849,49091402
2004-02-11,10.510539,10.587398,10.356820,10.568184,3.882849,29323191
2004-02-12,10.568184,10.606613,10.414464,10.539361,3.872260,30073567
2004-02-13,10.500931,10.548969,10.443287,10.500931,3.858140,16270151
2004-02-16,10.452894,10.510539,10.433679,10.491324,3.854612,26070316
2004-02-17,10.481717,10.539361,10.414464,10.481717,3.851081,20900572
2004-02-18,10.529754,10.548969,10.452894,10.548969,3.875790,13675318
2004-02-19,10.548969,10.750725,10.520146,10.750725,3.949919,25809872
2004-02-20,10.654650,10.721903,10.529754,10.597006,3.893438,20895503
2004-02-23,10.577791,10.673865,10.548969,10.577791,3.886379,11811616
2004-02-24,10.539361,10.558576,10.318390,10.433679,3.833430,21265654
2004-02-25,10.433679,10.510539,10.347212,10.472109,3.847550,44652800
2004-02-26,10.539361,10.548969,10.327998,10.472109,3.847550,16058273
2004-02-27,10.520146,10.664258,10.491324,10.664258,3.918148,35902800
2004-03-01,10.664258,10.741117,10.587398,10.664258,3.918148,18005579
2004-03-02,10.760332,10.760332,10.635436,10.760332,3.953446,20097620
2004-03-03,10.654650,10.741117,10.606613,10.654650,3.914616,18497493
